사업자번호,최종평판점수,일반 평판 환산 점수,미래 평판 환산 점수,사회적 책임 환산 점수,대중 평판 점수,고용 평판 점수,신용 평판 점수,기업 프로파일 점수,사업계획 점수,경제적 책임 점수,법률적 책임 점수,윤리적 책임 점수,자선적 책임 점수,
8555,57.75,50.94339623,63.54166667,91.24087591,60,50,30,80,50,100,100,100,50,
7251,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
3011,51.725,52.83018868,50.52083333,62.77372263,55,50,40,55,50,50,100,50,70,
6473,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
6093,54.75,45.28301887,63.54166667,91.24087591,45,50,30,80,50,100,100,100,50,
6931,51.75,39.62264151,63.54166667,91.24087591,50,50,10,80,50,100,100,100,50,
6467,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
4315,69.375,72.83018868,66.14583333,86.86131387,50,88,60,75,60,90,100,100,50,
3955,54.075,50.94339623,55.72916667,78.10218978,50,60,30,65,50,70,100,100,50,
6479,55.7,51.69811321,58.33333333,82.48175182,60,52,30,70,50,80,100,100,50,
7963,58.75,52.83018868,63.54166667,91.24087591,55,50,40,80,50,100,100,100,50,
8576,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
8129,50.2375,47.16981132,51.82291667,71.53284672,50,50,30,57.5,50,55,100,100,50,
6944,62.125,66.03773585,60.9375,69.34306569,60,50,70,55,70,50,100,100,50,
7624,54.2375,54.71698113,51.82291667,71.53284672,60,50,40,57.5,50,55,100,100,50,
7615,62.7875,58.49056604,77.86458333,73.72262774,70,50,40,57.5,100,55,100,100,60,
3956,61.9875,62.26415094,67.44791667,71.53284672,50,50,70,57.5,80,55,100,100,50,
9098,64.275,58.49056604,76.5625,86.86131387,50,50,60,75,80,90,100,100,50,
9105,54.6,47.16981132,68.75,73.72262774,50,50,30,60,80,60,100,100,50,
9099,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
5823,64.1,69.81132075,58.33333333,73.72262774,60,60,70,60,60,60,100,100,50,
7635,58.85,62.26415094,53.125,73.72262774,50,100,20,60,50,60,100,100,50,
7264,46.85,39.62264151,53.125,73.72262774,60,20,30,60,50,60,100,100,50,
7975,54.2375,54.71698113,51.82291667,71.53284672,50,50,50,57.5,50,55,100,100,50,
6958,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
9109,51.625,50.94339623,50.52083333,69.34306569,50,50,40,55,50,50,100,100,50,
7640,53.35,47.16981132,63.54166667,73.72262774,50,50,30,60,70,60,100,100,50,
8137,50.2375,47.16981132,51.82291667,71.53284672,50,50,30,57.5,50,55,100,100,50,
7270,54.85,54.71698113,53.125,73.72262774,50,50,50,60,50,60,100,100,50,
4268,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
6517,61.525,53.20754717,81.77083333,78.10218978,50,26,70,65,100,70,100,100,50,
6521,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
7982,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
6511,42.85,32.0754717,53.125,73.72262774,50,20,20,60,50,60,100,100,50,
7274,59.325,58.49056604,60.9375,78.10218978,50,50,60,65,60,70,100,100,50,
6510,50.7375,43.39622642,62.23958333,71.53284672,50,50,20,57.5,70,55,100,100,50,
6514,55.825,47.16981132,71.35416667,78.10218978,50,50,30,65,80,70,100,100,50,
7651,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
6519,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
9463,48.85,43.39622642,53.125,73.72262774,50,50,20,60,50,60,100,100,50,
3745,46.025,40.37735849,50.52083333,69.34306569,50,32,30,55,50,50,100,100,50,
3962,52.7375,47.16981132,62.23958333,71.53284672,50,50,30,57.5,70,55,100,100,50,
8635,50.85,47.16981132,53.125,73.72262774,50,50,30,60,50,60,100,100,50,
9116,50.2375,47.16981132,51.82291667,71.53284672,50,50,30,57.5,50,55,100,100,50,
7988,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
8626,46.2375,39.62264151,51.82291667,71.53284672,50,50,10,57.5,50,55,100,100,50,
6739,47.625,43.39622642,50.52083333,69.34306569,50,50,20,55,50,50,100,100,50,
8636,52.85,50.94339623,53.125,73.72262774,50,50,40,60,50,60,100,100,50,
8004,50.85,47.16981132,53.125,73.72262774,50,50,30,60,50,60,100,100,50,
8638,48.85,43.39622642,53.125,73.72262774,50,50,20,60,50,60,100,100,50,
7281,52.85,50.94339623,53.125,73.72262774,50,50,40,60,50,60,100,100,50,
8644,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
6091,57.35,54.71698113,63.54166667,73.72262774,50,50,50,60,70,60,100,100,50,
8647,50.2375,47.16981132,51.82291667,71.53284672,50,50,30,57.5,50,55,100,100,50,
8655,49.75,35.8490566,63.54166667,91.24087591,50,20,30,80,50,100,100,100,50,
7996,57.75,50.94339623,63.54166667,91.24087591,60,50,30,80,50,100,100,100,50,
9478,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
6558,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
7760,57.75,50.94339623,63.54166667,91.24087591,50,50,40,80,50,100,100,100,50,
6559,57.75,50.94339623,63.54166667,91.24087591,50,50,40,80,50,100,100,100,50,
6553,60.525,58.49056604,60.9375,86.86131387,50,80,30,75,50,90,100,100,50,
8661,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
7665,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
6552,48.85,43.39622642,53.125,73.72262774,50,40,30,60,50,60,100,100,50,
9135,53.05,51.32075472,53.125,73.72262774,55,46,40,60,50,60,100,100,50,
